MDHMethod,count
FKMI-K_20&Fuzzifier_2.0,12
FKMI-K_3&Fuzzifier_1.25,6
FKMI-K_3&Fuzzifier_1.5,5
FKMI-K_3&Fuzzifier_1.75,11
FKMI-K_3&Fuzzifier_2.0,15
FKMI-K_4&Fuzzifier_1.25,5
FKMI-K_4&Fuzzifier_1.5,13
FKMI-K_4&Fuzzifier_1.75,13
FKMI-K_4&Fuzzifier_2.0,19
FKMI-K_5&Fuzzifier_1.25,4
FKMI-K_5&Fuzzifier_1.5,6
FKMI-K_5&Fuzzifier_1.75,9
FKMI-K_5&Fuzzifier_2.0,19
FKMI-K_6&Fuzzifier_1.25,3
FKMI-K_6&Fuzzifier_1.5,11
FKMI-K_6&Fuzzifier_1.75,9
FKMI-K_6&Fuzzifier_2.0,11
FKMI-K_7&Fuzzifier_1.25,6
FKMI-K_7&Fuzzifier_1.5,6
FKMI-K_7&Fuzzifier_1.75,10
FKMI-K_7&Fuzzifier_2.0,6
FKMI-K_8&Fuzzifier_1.25,3
FKMI-K_8&Fuzzifier_1.5,7
FKMI-K_8&Fuzzifier_1.75,10
FKMI-K_8&Fuzzifier_2.0,12
FKMI-K_9&Fuzzifier_1.25,3
FKMI-K_9&Fuzzifier_1.5,7
FKMI-K_9&Fuzzifier_1.75,8
FKMI-K_9&Fuzzifier_2.0,11
ICMMI-,1113
ICMeMI-,1069
ICTMMI-,1122
IMMI-,580
IMeMI-,608
ITMMI-,841
KMI-K_1&Fuzzifier_1.0,8
KMI-K_10&Fuzzifier_1.0,2
KMI-K_11&Fuzzifier_1.0,2
KMI-K_12&Fuzzifier_1.0,2
KMI-K_13&Fuzzifier_1.0,5
KMI-K_14&Fuzzifier_1.0,4
KMI-K_15&Fuzzifier_1.0,3
KMI-K_16&Fuzzifier_1.0,1
KMI-K_17&Fuzzifier_1.0,3
KMI-K_18&Fuzzifier_1.0,5
KMI-K_19&Fuzzifier_1.0,2
KMI-K_2&Fuzzifier_1.0,4
KMI-K_20&Fuzzifier_1.0,5
KMI-K_3&Fuzzifier_1.0,6
KMI-K_4&Fuzzifier_1.0,6
KMI-K_5&Fuzzifier_1.0,11
KMI-K_6&Fuzzifier_1.0,2
KMI-K_7&Fuzzifier_1.0,2
KMI-K_8&Fuzzifier_1.0,5
KMI-K_9&Fuzzifier_1.0,6
KNNI-K_1&DIS_HEOM,13
KNNI-K_1&DIS_HVDM,45
KNNI-K_10&DIS_HEOM,1
KNNI-K_10&DIS_HVDM,13
KNNI-K_11&DIS_HEOM,1
KNNI-K_11&DIS_HVDM,9
KNNI-K_12&DIS_HEOM,1
KNNI-K_12&DIS_HVDM,3
KNNI-K_13&DIS_HEOM,1
KNNI-K_13&DIS_HVDM,10
KNNI-K_14&DIS_HVDM,9
KNNI-K_15&DIS_HVDM,4
KNNI-K_16&DIS_HVDM,4
KNNI-K_17&DIS_HEOM,1
KNNI-K_17&DIS_HVDM,9
KNNI-K_18&DIS_HVDM,10
KNNI-K_19&DIS_HEOM,4
KNNI-K_19&DIS_HVDM,6
KNNI-K_2&DIS_HEOM,14
KNNI-K_2&DIS_HVDM,56
KNNI-K_20&DIS_HEOM,2
KNNI-K_20&DIS_HVDM,8
KNNI-K_3&DIS_HEOM,12
KNNI-K_3&DIS_HVDM,55
KNNI-K_4&DIS_HEOM,4
KNNI-K_4&DIS_HVDM,34
KNNI-K_5&DIS_HVDM,19
KNNI-K_6&DIS_HEOM,2
KNNI-K_6&DIS_HVDM,22
KNNI-K_7&DIS_HEOM,4
KNNI-K_7&DIS_HVDM,20
KNNI-K_8&DIS_HEOM,2
KNNI-K_8&DIS_HVDM,19
KNNI-K_9&DIS_HEOM,3
KNNI-K_9&DIS_HVDM,11
KNNII-K_1&DIS_HEOM,3
KNNII-K_10&DIS_HEOM,1
KNNII-K_10&DIS_HVDM,1
KNNII-K_11&DIS_HEOM,3
KNNII-K_12&DIS_HEOM,1
KNNII-K_12&DIS_HVDM,2
KNNII-K_13&DIS_HVDM,1
KNNII-K_15&DIS_HEOM,1
KNNII-K_16&DIS_HVDM,1
KNNII-K_17&DIS_HEOM,2
KNNII-K_17&DIS_HVDM,1
KNNII-K_18&DIS_HEOM,1
KNNII-K_19&DIS_HEOM,1
KNNII-K_19&DIS_HVDM,2
KNNII-K_2&DIS_HEOM,2
KNNII-K_2&DIS_HVDM,1
KNNII-K_20&DIS_HEOM,1
KNNII-K_3&DIS_HEOM,1
KNNII-K_3&DIS_HVDM,2
KNNII-K_4&DIS_HVDM,2
KNNII-K_6&DIS_HVDM,1
KNNII-K_8&DIS_HVDM,3
KNNII-K_9&DIS_HVDM,1
MICE-Me_CART,1556
MICE-Me_PMM,1465
MICE-Me_RF,1281
MICE-Me_SAMPLE,1359
MIDASpy-Variation_F,1261
MIDASpy-Variation_T,819
MISSRANGER-SPLITRULE_F,1598
MISSRANGER-SPLITRULE_T,1599
MMI-,1094
MeMI-,732
TMMI-,623
WKNNI-K_10&DIS_HVDM,1
WKNNI-K_11&DIS_HEOM,1
WKNNI-K_11&DIS_HVDM,2
WKNNI-K_12&DIS_HEOM,1
WKNNI-K_12&DIS_HVDM,1
WKNNI-K_13&DIS_HVDM,2
WKNNI-K_14&DIS_HEOM,1
WKNNI-K_14&DIS_HVDM,1
WKNNI-K_16&DIS_HEOM,1
WKNNI-K_17&DIS_HEOM,1
WKNNI-K_18&DIS_HEOM,1
WKNNI-K_18&DIS_HVDM,2
WKNNI-K_2&DIS_HEOM,1
WKNNI-K_2&DIS_HVDM,3
WKNNI-K_20&DIS_HEOM,1
WKNNI-K_20&DIS_HVDM,2
WKNNI-K_3&DIS_HVDM,1
WKNNI-K_4&DIS_HEOM,1
WKNNI-K_5&DIS_HEOM,1
WKNNI-K_5&DIS_HVDM,2
WKNNI-K_6&DIS_HVDM,1
WKNNI-K_7&DIS_HVDM,1
WKNNI-K_8&DIS_HEOM,1
WKNNI-K_8&DIS_HVDM,2
WKNNI-K_9&DIS_HEOM,1
WKNNII-K_1&DIS_HEOM,2
WKNNII-K_1&DIS_HVDM,4
WKNNII-K_10&DIS_HEOM,2
WKNNII-K_10&DIS_HVDM,2
WKNNII-K_11&DIS_HEOM,1
WKNNII-K_11&DIS_HVDM,4
WKNNII-K_12&DIS_HEOM,2
WKNNII-K_12&DIS_HVDM,3
WKNNII-K_13&DIS_HEOM,2
WKNNII-K_13&DIS_HVDM,6
WKNNII-K_14&DIS_HEOM,2
WKNNII-K_14&DIS_HVDM,4
WKNNII-K_15&DIS_HEOM,2
WKNNII-K_15&DIS_HVDM,8
WKNNII-K_16&DIS_HEOM,2
WKNNII-K_16&DIS_HVDM,3
WKNNII-K_17&DIS_HVDM,4
WKNNII-K_18&DIS_HEOM,3
WKNNII-K_18&DIS_HVDM,4
WKNNII-K_19&DIS_HEOM,3
WKNNII-K_19&DIS_HVDM,6
WKNNII-K_2&DIS_HEOM,1
WKNNII-K_2&DIS_HVDM,5
WKNNII-K_20&DIS_HEOM,3
WKNNII-K_20&DIS_HVDM,5
WKNNII-K_3&DIS_HEOM,1
WKNNII-K_3&DIS_HVDM,3
WKNNII-K_4&DIS_HEOM,4
WKNNII-K_4&DIS_HVDM,8
WKNNII-K_5&DIS_HEOM,2
WKNNII-K_5&DIS_HVDM,1
WKNNII-K_6&DIS_HEOM,2
WKNNII-K_6&DIS_HVDM,1
WKNNII-K_7&DIS_HEOM,5
WKNNII-K_7&DIS_HVDM,3
WKNNII-K_8&DIS_HEOM,3
WKNNII-K_8&DIS_HVDM,2
WKNNII-K_9&DIS_HEOM,2
WKNNII-K_9&DIS_HVDM,2
sKNNI-K_1&DIS_HEOM,2
sKNNI-K_1&DIS_HVDM,3
sKNNI-K_11&DIS_HEOM,1
sKNNI-K_11&DIS_HVDM,1
sKNNI-K_12&DIS_HVDM,1
sKNNI-K_13&DIS_HEOM,1
sKNNI-K_13&DIS_HVDM,1
sKNNI-K_14&DIS_HEOM,1
sKNNI-K_14&DIS_HVDM,1
sKNNI-K_15&DIS_HVDM,1
sKNNI-K_16&DIS_HVDM,2
sKNNI-K_17&DIS_HVDM,1
sKNNI-K_18&DIS_HEOM,1
sKNNI-K_18&DIS_HVDM,2
sKNNI-K_19&DIS_HEOM,1
sKNNI-K_2&DIS_HEOM,2
sKNNI-K_2&DIS_HVDM,3
sKNNI-K_20&DIS_HVDM,1
sKNNI-K_3&DIS_HEOM,1
sKNNI-K_3&DIS_HVDM,1
sKNNI-K_4&DIS_HVDM,2
sKNNI-K_5&DIS_HVDM,1
sKNNI-K_6&DIS_HEOM,1
sKNNI-K_7&DIS_HVDM,4
sKNNII-K_1&DIS_HEOM,4
sKNNII-K_1&DIS_HVDM,3
sKNNII-K_10&DIS_HEOM,2
sKNNII-K_10&DIS_HVDM,2
sKNNII-K_11&DIS_HEOM,2
sKNNII-K_11&DIS_HVDM,2
sKNNII-K_12&DIS_HEOM,7
sKNNII-K_12&DIS_HVDM,4
sKNNII-K_13&DIS_HEOM,4
sKNNII-K_13&DIS_HVDM,2
sKNNII-K_14&DIS_HEOM,3
sKNNII-K_14&DIS_HVDM,2
sKNNII-K_15&DIS_HEOM,3
sKNNII-K_15&DIS_HVDM,8
sKNNII-K_16&DIS_HEOM,3
sKNNII-K_16&DIS_HVDM,3
sKNNII-K_17&DIS_HEOM,4
sKNNII-K_17&DIS_HVDM,4
sKNNII-K_18&DIS_HEOM,2
sKNNII-K_19&DIS_HEOM,3
sKNNII-K_19&DIS_HVDM,5
sKNNII-K_2&DIS_HEOM,4
sKNNII-K_2&DIS_HVDM,4
sKNNII-K_20&DIS_HEOM,2
sKNNII-K_20&DIS_HVDM,1
sKNNII-K_3&DIS_HEOM,2
sKNNII-K_3&DIS_HVDM,5
sKNNII-K_4&DIS_HVDM,3
sKNNII-K_5&DIS_HEOM,6
sKNNII-K_5&DIS_HVDM,4
sKNNII-K_6&DIS_HEOM,2
sKNNII-K_6&DIS_HVDM,4
sKNNII-K_7&DIS_HVDM,3
sKNNII-K_8&DIS_HEOM,1
sKNNII-K_8&DIS_HVDM,4
sKNNII-K_9&DIS_HEOM,2
sKNNII-K_9&DIS_HVDM,4
sWKNNI-K_11&DIS_HVDM,4
sWKNNI-K_12&DIS_HVDM,1
sWKNNI-K_13&DIS_HVDM,1
sWKNNI-K_14&DIS_HVDM,1
sWKNNI-K_16&DIS_HEOM,1
sWKNNI-K_16&DIS_HVDM,1
sWKNNI-K_17&DIS_HEOM,1
sWKNNI-K_17&DIS_HVDM,2
sWKNNI-K_18&DIS_HVDM,1
sWKNNI-K_19&DIS_HEOM,2
sWKNNI-K_2&DIS_HEOM,2
sWKNNI-K_2&DIS_HVDM,1
sWKNNI-K_20&DIS_HEOM,2
sWKNNI-K_3&DIS_HVDM,1
sWKNNI-K_4&DIS_HEOM,2
sWKNNI-K_4&DIS_HVDM,3
sWKNNI-K_5&DIS_HEOM,1
sWKNNI-K_5&DIS_HVDM,2
sWKNNI-K_6&DIS_HVDM,1
sWKNNI-K_7&DIS_HEOM,1
sWKNNI-K_9&DIS_HVDM,1
sWKNNII-K_1&DIS_HEOM,2
sWKNNII-K_1&DIS_HVDM,2
sWKNNII-K_10&DIS_HEOM,4
sWKNNII-K_10&DIS_HVDM,1
sWKNNII-K_11&DIS_HEOM,1
sWKNNII-K_11&DIS_HVDM,4
sWKNNII-K_12&DIS_HEOM,3
sWKNNII-K_12&DIS_HVDM,1
sWKNNII-K_13&DIS_HEOM,2
sWKNNII-K_13&DIS_HVDM,6
sWKNNII-K_14&DIS_HEOM,3
sWKNNII-K_14&DIS_HVDM,6
sWKNNII-K_15&DIS_HEOM,2
sWKNNII-K_15&DIS_HVDM,3
sWKNNII-K_16&DIS_HVDM,3
sWKNNII-K_17&DIS_HEOM,1
sWKNNII-K_17&DIS_HVDM,2
sWKNNII-K_19&DIS_HEOM,6
sWKNNII-K_19&DIS_HVDM,4
sWKNNII-K_2&DIS_HEOM,3
sWKNNII-K_2&DIS_HVDM,2
sWKNNII-K_20&DIS_HEOM,2
sWKNNII-K_20&DIS_HVDM,6
sWKNNII-K_3&DIS_HEOM,2
sWKNNII-K_3&DIS_HVDM,6
sWKNNII-K_4&DIS_HEOM,4
sWKNNII-K_4&DIS_HVDM,7
sWKNNII-K_5&DIS_HVDM,7
sWKNNII-K_6&DIS_HEOM,3
sWKNNII-K_6&DIS_HVDM,4
sWKNNII-K_7&DIS_HEOM,3
sWKNNII-K_7&DIS_HVDM,3
sWKNNII-K_8&DIS_HEOM,2
sWKNNII-K_8&DIS_HVDM,6
sWKNNII-K_9&DIS_HEOM,1
sWKNNII-K_9&DIS_HVDM,6
